,mean_normalized_power,mean_measured_wind_speed,mean_measured_temperature
count,19403.0,19403.0,19403.0
mean,0.37600837499355766,6.504077634042845,16.282271444278376
std,0.36114668800411276,3.6755432939122556,12.45634441095612
min,0.005,0.0,-18.426666666666662
5%,0.01,1.265,-3.965
25%,0.035,3.354166666666667,6.190833333333333
50%,0.2433333333333333,6.193333333333334,17.21666666666667
75%,0.7116666666666667,9.407499999999999,26.262500000000003
95%,0.99,12.696499999999997,35.159833333333296
max,0.9983333333333334,19.666666666666668,43.068333333333335
