hour,mean,count
0,0.34704816955684,865
1,0.3442866743471582,868
2,0.3416858678955453,868
3,0.343502688172043,868
4,0.3362984273110855,869
5,0.326956555171088,867
6,0.3317970011534025,867
7,0.3295003844675124,867
8,0.34313741339491916,866
9,0.36913341067285377,862
10,0.3904808139534883,860
11,0.40976777251184826,844
12,0.40847543238993705,848
13,0.3940434954527481,843
14,0.39204038613081166,846
15,0.3977870916961826,847
16,0.39239012925969446,851
17,0.3892663934426229,854
18,0.4056796210363495,862
19,0.4042668213457076,862
20,0.3974109826589595,865
21,0.38171247113163964,866
22,0.3618673979984603,866
23,0.352489414934565,866
