turbine_id,issue_time_utc,baseline_source_time_utc,baseline_available_time_utc,baseline_prediction,baseline_status,availability_status
turbine_1,2026-01-01 12:00:00+00:00,2026-01-01 11:00:00+00:00,2026-01-01 12:00:00+00:00,0.01,available,assumed
turbine_2,2026-01-01 12:00:00+00:00,2026-01-01 11:00:00+00:00,2026-01-01 12:00:00+00:00,0.01,available,assumed
turbine_1,2026-01-02 12:00:00+00:00,2026-01-02 11:00:00+00:00,2026-01-02 12:00:00+00:00,0.4233333333333333,available,assumed
turbine_2,2026-01-02 12:00:00+00:00,2026-01-02 11:00:00+00:00,2026-01-02 12:00:00+00:00,0.4333333333333333,available,assumed
turbine_1,2026-01-03 12:00:00+00:00,2026-01-03 11:00:00+00:00,2026-01-03 12:00:00+00:00,0.2433333333333333,available,assumed
turbine_2,2026-01-03 12:00:00+00:00,2026-01-03 11:00:00+00:00,2026-01-03 12:00:00+00:00,0.2066666666666666,available,assumed
turbine_1,2026-01-04 12:00:00+00:00,2026-01-04 11:00:00+00:00,2026-01-04 12:00:00+00:00,0.2533333333333333,available,assumed
turbine_2,2026-01-04 12:00:00+00:00,2026-01-04 11:00:00+00:00,2026-01-04 12:00:00+00:00,0.265,available,assumed
turbine_1,2026-01-05 12:00:00+00:00,2026-01-05 11:00:00+00:00,2026-01-05 12:00:00+00:00,0.02,available,assumed
turbine_2,2026-01-05 12:00:00+00:00,2026-01-05 11:00:00+00:00,2026-01-05 12:00:00+00:00,0.0183333333333333,available,assumed
turbine_1,2026-01-06 12:00:00+00:00,2026-01-06 11:00:00+00:00,2026-01-06 12:00:00+00:00,0.9883333333333334,available,assumed
turbine_2,2026-01-06 12:00:00+00:00,2026-01-06 11:00:00+00:00,2026-01-06 12:00:00+00:00,0.9699999999999998,available,assumed
turbine_1,2026-01-07 12:00:00+00:00,2026-01-07 11:00:00+00:00,2026-01-07 12:00:00+00:00,0.0116666666666666,available,assumed
turbine_2,2026-01-07 12:00:00+00:00,2026-01-07 11:00:00+00:00,2026-01-07 12:00:00+00:00,0.0083333333333333,available,assumed
turbine_1,2026-01-08 12:00:00+00:00,2026-01-08 11:00:00+00:00,2026-01-08 12:00:00+00:00,0.1383333333333333,available,assumed
turbine_2,2026-01-08 12:00:00+00:00,2026-01-08 11:00:00+00:00,2026-01-08 12:00:00+00:00,0.1349999999999999,available,assumed
turbine_1,2026-01-09 12:00:00+00:00,2026-01-09 11:00:00+00:00,2026-01-09 12:00:00+00:00,0.0266666666666666,available,assumed
turbine_2,2026-01-09 12:00:00+00:00,2026-01-09 11:00:00+00:00,2026-01-09 12:00:00+00:00,0.0166666666666666,available,assumed
